StationID,Station
8500322,Laufenburg$<1>$LFG$<3>
8500329,Koblenz$<1>$KB$<3>
8500371,"Wangen bei Olten, Bahnhof$<1>"
8500380,"Gunzgen, Zentrum$<1>"
8500381,"Hägendorf, Bodenmatt$<1>"
8500382,"Härkingen, Pflug$<1>"
8500383,"Kappel SO, Kreuz$<1>"
8500385,"Neuendorf, Kirche$<1>"
8500386,"Niederbuchsiten, Sonne$<1>"
8500387,"Rickenbach SO, Dorf$<1>"
8500388,"Wisen SO, Kirche$<1>"
8500453,"Solothurn, Spital$<1>"
8500454,"Bellach, Breitenfeld$<1>"
8500455,"Langendorf, Ladendorf$<1>"
8500456,"Oberdorf SO, Endhalt$<1>"
8500457,"Rüttenen, Dorf$<1>"
8500458,"Zuchwil, Rainstrasse$<1>"
8500459,"Kriegstetten, Dorfplatz$<1>"
8500460,"Recherswil, Dorf$<1>"
8500461,"Halten, Käserei$<1>"
8500462,Heinrichswil$<1>
8500463,"Winistorf, Mösli$<1>"
8500464,Burgäschi$<1>
8500465,Steinhof SO$<1>
8500466,"Hersiwil, Dorf$<1>"
8500467,"Zuchwil, Kornfeld$<1>$ZUKF$<3>"
8500468,"Zuchwil, Mc Donald's$<1>$ZUMD$<3>"
8500476,"Aeschi SO, Dorf$<1>$AEDO$<3>"
8500477,"Bolken, Dorf$<1>$BNDO$<3>"
8500478,Hüniken$<1>$HUEN$<3>
8500479,"Niederönz, Post$<1>$NZPO$<3>"
8500480,"Röthenbach b. H., Post$<1>$RHPO$<3>"
8500485,"Derendingen, Pestalozziplatz$<1>"
8500487,St. Niklaus SO$<1>
8500488,"Horriwil, Post$<1>$HWPT$<3>"
8500490,"Langendorf, Chutz$<1>"
8500494,"Solothurn, Amthausplatz$<1>$SOAZ$<3>"
8500497,"Winistorf, Dorf$<1>"
8500498,"Zuchwil, Aarmatt$<1>"
8500550,"Brugg AG, Brücke$<1>"
8500551,"Bözberg, Haldensteinstrasse$<1>"
8500552,"Rüfenach AG, Hinterrein$<1>"
8500553,"Oberflachs, Kasteln$<1>"
8500554,"Bözberg, Kirchbözberg$<1>"
8500555,"Lauffohr, Dorf$<1>"
8500556,"Mettau, Linde$<1>"
8500557,"Mettau, Post$<1>"
8500558,"Mönthal, Unterdorf$<1>"
8500559,"Umiken, Mühlehalde$<1>"
8500560,"Oberhofen AG, Ausserdorf$<1>"
8500561,"Remigen, Zentrum$<1>"
8500562,"Riniken, Post$<1>"
8500563,"Riniken, Gemeindehaus$<1>"
8500564,"Rüfenach AG, Dorf$<1>"
8500565,"Bözberg, Neustalden$<1>"
8500566,"Stilli, Villigerstrasse$<1>"
8500567,"Thalheim AG, Post$<1>"
8500568,"Remigen, Abzw. Ueberthal$<1>"
8500569,"Gansingen, Oberbüren$<1>"
8500570,"Bözberg, Ursprung$<1>"
8500571,"Veltheim AG, Unterdorf$<1>"
8500572,"Villigen, Post$<1>"
8500573,"Schinznach Dorf, Wallbach$<1>"
8500574,"Veltheim AG, Wildenstein$<1>"
8500575,"Brugg AG, Aare AG$<1>"
8500576,"Windisch, Zentrum$<1>"
8500577,"Windisch, Löwen$<1>"
8500578,"Windisch, Reformierte Kirche$<1>"
8500579,"Bözberg, Egenwil$<1>"
8500580,"Bözberg, Vierlinden$<1>"
8500581,"Oberflachs, Mitteldorf$<1>"
8500582,"Elfingen, Sternen$<1>"
8500583,"Frick, Bahnhof$<1>"
8500584,"Obermumpf, Alte Post$<1>"
8500585,"Ittenthal, Dorfmitte$<1>"
8500586,"Schupfart, Dorf$<1>"
8500588,"Rheinsulz, Dorf$<1>"
8500589,"Sulz AG, Bütz$<1>"
8500591,"Asp AG, Abzw.$<1>"
8500592,"Küttigen, Abzw. Giebel$<1>"
8500593,"Oberhof, Rohr$<1>"
8500595,"Hornussen, Unterdorf$<1>"
8500596,"Boningen, Kreuzplatz$<1>"
